ID,City,Group_size,Age,TOM,BUMO,BUMO_Previous,MostFavourite,Gender,Age_Group_2,Occupation,Occupation_Group,Year,IncomeBand
419145,Cần Thơ,3.0,32.0,Other 1,Other 1,Unknown,Other 1,Male,30 - 34 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
419358,Hải Phòng,3.0,43.0,Other 1,Other 1,Unknown,Other 1,Male,40 - 44 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
421467,Đà Nẵng,3.0,50.0,Other 1,Other 1,Unknown,Other 1,Male,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
423075,Nha Trang,3.0,53.0,Other 1,Other 1,Unknown,Other 1,Male,45+ y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
430294,Hải Phòng,3.0,32.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
430348,Hải Phòng,3.0,60.0,Other 1,Other 1,Unknown,Other 1,Female,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
433262,Hải Phòng,3.0,24.0,Other 1,Other 1,Unknown,Other 1,Female,20 - 24 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
434856,Hải Phòng,3.0,39.0,Other 1,Other 1,Unknown,Other 1,Male,35 - 39 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
435053,Hải Phòng,3.0,46.0,Other 1,Other 1,Unknown,Other 1,Male,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
439304,Nha Trang,3.0,54.0,Other 1,Other 1,Unknown,Other 1,Female,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
439569,Cần Thơ,3.0,33.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
442479,Nha Trang,3.0,21.0,Other 1,Other 1,Unknown,Other 1,Female,20 - 24 y.o.,"Semi-skilled labor (salesperson, waiter, photographer)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
443620,Hải Phòng,3.0,28.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
443726,Hà Nội,3.0,43.0,Other 1,Other 1,Unknown,Other 1,Female,40 - 44 y.o.,"Semi-skilled labor (salesperson, waiter, photographer)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
443998,Hà Nội,3.0,49.0,Other 1,Other 1,Unknown,Other 1,Male,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
444080,Hà Nội,3.0,38.0,Other 1,Other 1,Unknown,Other 1,Female,35 - 39 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
444604,Cần Thơ,3.0,23.0,Other 1,Other 1,Unknown,Other 1,Male,20 - 24 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
445293,Cần Thơ,3.0,48.0,Other 1,Other 1,Unknown,Other 1,Female,45+ y.o.,"Semi-skilled labor (salesperson, waiter, photographer)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
445297,Hải Phòng,3.0,34.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
446009,Đà Nẵng,3.0,30.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
446046,Cần Thơ,3.0,30.0,Other 1,Other 1,Unknown,Other 1,Male,30 - 34 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
446092,Hà Nội,3.0,51.0,Other 1,Other 1,Unknown,Other 1,Male,45+ y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
446195,Hà Nội,3.0,58.0,Other 1,Other 1,Unknown,Other 1,Female,45+ y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
448666,Hà Nội,3.0,23.0,Other 1,Other 1,Unknown,Other 1,Female,20 - 24 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
448732,Hà Nội,3.0,52.0,Other 1,Other 1,Unknown,Other 1,Male,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
449279,Hà Nội,3.0,50.0,Other 1,Other 1,Unknown,Other 1,Male,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
449428,Hà Nội,3.0,53.0,Other 1,Other 1,Unknown,Other 1,Female,45+ y.o.,"Semi-skilled labor (salesperson, waiter, photographer)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
450819,Hải Phòng,3.0,32.0,Other 1,Other 1,Unknown,Other 1,Male,30 - 34 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
450832,Hải Phòng,3.0,32.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
452516,Hà Nội,3.0,55.0,Other 1,Other 1,Unknown,Other 1,Male,45+ y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
454969,Hà Nội,3.0,37.0,Other 1,Other 1,Unknown,Other 1,Male,35 - 39 y.o.,"Semi-skilled labor (salesperson, waiter, photographer)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
455083,Hà Nội,3.0,33.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,"Semi-skilled labor (salesperson, waiter, photographer)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
455319,Hà Nội,3.0,38.0,Other 1,Other 1,Unknown,Other 1,Female,35 - 39 y.o.,"Semi-skilled labor (salesperson, waiter, photographer)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
458207,Hà Nội,3.0,34.0,Other 1,Other 1,Unknown,Other 1,Male,30 - 34 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
459787,Hà Nội,3.0,38.0,Other 1,Other 1,Unknown,Other 1,Male,35 - 39 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2018,From 4.5 millions to 6.49 millions VND
729375,Đà Nẵng,3.0,45.0,Other 1,Other 1,Unknown,Other 1,Female,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
739684,Hà Nội,3.0,52.0,Other 1,Other 1,Unknown,Other 1,Male,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
768874,Cần Thơ,3.0,39.0,Other 1,Other 1,Unknown,Other 1,Female,35 - 39 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
779711,Hà Nội,3.0,45.0,Other 1,Other 1,Unknown,Other 1,Male,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
779883,Đà Nẵng,3.0,25.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
782797,Đà Nẵng,3.0,21.0,Other 1,Other 1,Unknown,Other 1,Male,20 - 24 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
783137,Đà Nẵng,3.0,28.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
792058,Hà Nội,3.0,34.0,Other 1,Other 1,Unknown,Other 1,Male,30 - 34 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
799561,Hải Phòng,3.0,50.0,Other 1,Other 1,Unknown,Other 1,Female,45+ y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
800134,Đà Nẵng,3.0,28.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
800856,Hà Nội,3.0,51.0,Other 1,Other 1,Unknown,Other 1,Male,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
802966,Nha Trang,3.0,44.0,Other 1,Other 1,Unknown,Other 1,Male,40 - 44 y.o.,"Semi-skilled labor (salesperson, waiter, photographer)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
808797,Cần Thơ,3.0,36.0,Other 1,Other 1,Unknown,Other 1,Male,35 - 39 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
812081,Hà Nội,3.0,32.0,Other 1,Other 1,Unknown,Other 1,Male,30 - 34 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
812792,Cần Thơ,3.0,34.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
818279,Hà Nội,3.0,50.0,Other 1,Other 1,Unknown,Other 1,Female,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
818453,Hà Nội,3.0,36.0,Other 1,Other 1,Unknown,Other 1,Female,35 - 39 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
826337,Hà Nội,3.0,48.0,Other 1,Other 1,Unknown,Other 1,Male,45+ y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
828520,Cần Thơ,3.0,55.0,Other 1,Other 1,Unknown,Other 1,Male,45+ y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
832795,Cần Thơ,3.0,43.0,Other 1,Other 1,Unknown,Other 1,Male,40 - 44 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
840036,Cần Thơ,3.0,24.0,Other 1,Other 1,Unknown,Other 1,Male,20 - 24 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
841702,Cần Thơ,3.0,23.0,Other 1,Other 1,Unknown,Other 1,Male,20 - 24 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
843729,Cần Thơ,3.0,30.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
844773,Cần Thơ,3.0,27.0,Other 1,Other 1,Unknown,Other 1,Male,25 - 29 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2019,From 4.5 millions to 6.49 millions VND
365717,Đà Nẵng,3.0,25.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,Officer - Staff level,White Collar,2018,From 4.5 millions to 6.49 millions VND
366452,Cần Thơ,3.0,34.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,Housewife,None Working,2018,From 4.5 millions to 6.49 millions VND
366855,Cần Thơ,3.0,34.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,Officer - Staff level,White Collar,2018,From 4.5 millions to 6.49 millions VND
368419,Cần Thơ,3.0,28.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,Officer - Staff level,White Collar,2018,From 4.5 millions to 6.49 millions VND
371398,Hà Nội,3.0,38.0,Other 1,Other 1,Unknown,Other 1,Female,35 - 39 y.o.,"Small Business (small shop owner, grocery store, etc.)",Self Employed - Small Business and Freelance,2018,From 4.5 millions to 6.49 millions VND
373685,Hồ Chí Minh,3.0,27.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,Lecturer / Teacher,White Collar,2018,From 4.5 millions to 6.49 millions VND
378154,Cần Thơ,3.0,28.0,Other 1,Other 1,Unknown,Other 1,Male,25 - 29 y.o.,Officer - Staff level,White Collar,2018,From 4.5 millions to 6.49 millions VND
379200,Đà Nẵng,3.0,27.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,Housewife,None Working,2018,From 4.5 millions to 6.49 millions VND
382217,Hà Nội,3.0,34.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,Broker/ Service provider with no employee,Self Employed - Small Business and Freelance,2018,From 4.5 millions to 6.49 millions VND
383731,Cần Thơ,3.0,35.0,Other 1,Other 1,Unknown,Other 1,Male,35 - 39 y.o.,Officer - Staff level,White Collar,2018,From 4.5 millions to 6.49 millions VND
383803,Cần Thơ,3.0,32.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,Lecturer / Teacher,White Collar,2018,From 4.5 millions to 6.49 millions VND
384239,Hà Nội,3.0,26.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,Broker/ Service provider with no employee,Self Employed - Small Business and Freelance,2018,From 4.5 millions to 6.49 millions VND
392015,Hải Phòng,3.0,53.0,Other 1,Other 1,Unknown,Other 1,Male,45+ y.o.,Retirement,None Working,2018,From 4.5 millions to 6.49 millions VND
399259,Hải Phòng,3.0,29.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,"Small Business (small shop owner, grocery store, etc.)",Self Employed - Small Business and Freelance,2018,From 4.5 millions to 6.49 millions VND
402504,Đà Nẵng,3.0,46.0,Other 1,Other 1,Unknown,Other 1,Female,45+ y.o.,Lecturer / Teacher,White Collar,2018,From 4.5 millions to 6.49 millions VND
402940,Đà Nẵng,3.0,29.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,Officer - Staff level,White Collar,2018,From 4.5 millions to 6.49 millions VND
409131,Hà Nội,3.0,50.0,Other 1,Other 1,Unknown,Other 1,Female,45+ y.o.,Housewife,None Working,2018,From 4.5 millions to 6.49 millions VND
410854,Hà Nội,3.0,23.0,Other 1,Other 1,Unknown,Other 1,Male,20 - 24 y.o.,Officer - Staff level,White Collar,2018,From 4.5 millions to 6.49 millions VND
410858,Hà Nội,3.0,31.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,Broker/ Service provider with no employee,Self Employed - Small Business and Freelance,2018,From 4.5 millions to 6.49 millions VND
411456,Hà Nội,3.0,25.0,Other 1,Other 1,Unknown,Other 1,Male,25 - 29 y.o.,Officer - Staff level,White Collar,2018,From 4.5 millions to 6.49 millions VND
411459,Hà Nội,3.0,35.0,Other 1,Other 1,Unknown,Other 1,Female,35 - 39 y.o.,Officer - Staff level,White Collar,2018,From 4.5 millions to 6.49 millions VND
411679,Hà Nội,3.0,22.0,Other 1,Other 1,Unknown,Other 1,Male,20 - 24 y.o.,Pupil / Student,None Working,2018,From 4.5 millions to 6.49 millions VND
412527,Đà Nẵng,3.0,33.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,"Small Business (small shop owner, grocery store, etc.)",Self Employed - Small Business and Freelance,2018,From 4.5 millions to 6.49 millions VND
415173,Hải Phòng,3.0,37.0,Other 1,Other 1,Unknown,Other 1,Female,35 - 39 y.o.,Lecturer / Teacher,White Collar,2018,From 4.5 millions to 6.49 millions VND
419054,Cần Thơ,3.0,22.0,Other 1,Other 1,Unknown,Other 1,Female,20 - 24 y.o.,Pupil / Student,None Working,2018,From 4.5 millions to 6.49 millions VND
427010,Hải Phòng,3.0,32.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,Lecturer / Teacher,White Collar,2018,From 4.5 millions to 6.49 millions VND
433700,Hà Nội,3.0,34.0,Other 1,Other 1,Unknown,Other 1,Male,30 - 34 y.o.,Broker/ Service provider with no employee,Self Employed - Small Business and Freelance,2018,From 4.5 millions to 6.49 millions VND
437271,Hải Phòng,3.0,36.0,Other 1,Other 1,Unknown,Other 1,Female,35 - 39 y.o.,Lecturer / Teacher,White Collar,2018,From 4.5 millions to 6.49 millions VND
440522,Hải Phòng,3.0,54.0,Other 1,Other 1,Unknown,Other 1,Female,45+ y.o.,Broker/ Service provider with no employee,Self Employed - Small Business and Freelance,2018,From 4.5 millions to 6.49 millions VND
441907,Hà Nội,3.0,28.0,Other 1,Other 1,Unknown,Other 1,Male,25 - 29 y.o.,Officer - Staff level,White Collar,2018,From 4.5 millions to 6.49 millions VND
442575,Hải Phòng,3.0,40.0,Other 1,Other 1,Unknown,Other 1,Female,40 - 44 y.o.,Broker/ Service provider with no employee,Self Employed - Small Business and Freelance,2018,From 4.5 millions to 6.49 millions VND
443563,Hà Nội,3.0,30.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,Lecturer / Teacher,White Collar,2018,From 4.5 millions to 6.49 millions VND
443648,Hà Nội,3.0,52.0,Other 1,Other 1,Unknown,Other 1,Female,45+ y.o.,Broker/ Service provider with no employee,Self Employed - Small Business and Freelance,2018,From 4.5 millions to 6.49 millions VND
443653,Hà Nội,3.0,30.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,"Professional (doctor, engineer, architect, nursing staff, lawyer, researcher, etc.)",White Collar,2018,From 4.5 millions to 6.49 millions VND
444589,Cần Thơ,3.0,26.0,Other 1,Other 1,Unknown,Other 1,Male,25 - 29 y.o.,"Professional (doctor, engineer, architect, nursing staff, lawyer, researcher, etc.)",White Collar,2018,From 4.5 millions to 6.49 millions VND
444596,Cần Thơ,3.0,27.0,Other 1,Other 1,Unknown,Other 1,Male,25 - 29 y.o.,Officer - Staff level,White Collar,2018,From 4.5 millions to 6.49 millions VND
445325,Hải Phòng,3.0,28.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,Officer - Staff level,White Collar,2018,From 4.5 millions to 6.49 millions VND
448071,Hà Nội,3.0,26.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,Pupil / Student,None Working,2018,From 4.5 millions to 6.49 millions VND
450135,Hà Nội,3.0,25.0,Other 1,Other 1,Unknown,Other 1,Male,25 - 29 y.o.,Military / Police,Other Occupations,2018,From 4.5 millions to 6.49 millions VND
451937,Hải Phòng,3.0,42.0,Other 1,Other 1,Unknown,Other 1,Female,40 - 44 y.o.,Lecturer / Teacher,White Collar,2018,From 4.5 millions to 6.49 millions VND
452319,Đà Nẵng,3.0,38.0,Other 1,Other 1,Unknown,Other 1,Female,35 - 39 y.o.,Lecturer / Teacher,White Collar,2018,From 4.5 millions to 6.49 millions VND
452522,Hà Nội,3.0,27.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,Officer - Staff level,White Collar,2018,From 4.5 millions to 6.49 millions VND
452747,Hà Nội,3.0,31.0,Other 1,Other 1,Unknown,Other 1,Female,30 - 34 y.o.,Broker/ Service provider with no employee,Self Employed - Small Business and Freelance,2018,From 4.5 millions to 6.49 millions VND
453578,Hà Nội,3.0,27.0,Other 1,Other 1,Unknown,Other 1,Female,25 - 29 y.o.,Officer - Staff level,White Collar,2018,From 4.5 millions to 6.49 millions VND
455623,Hà Nội,3.0,56.0,Other 1,Other 1,Unknown,Other 1,Female,45+ y.o.,Broker/ Service provider with no employee,Self Employed - Small Business and Freelance,2018,From 4.5 millions to 6.49 millions VND
456549,Hồ Chí Minh,3.0,39.0,Other 1,Other 1,Unknown,Other 1,Female,35 - 39 y.o.,Housewife,None Working,2018,From 4.5 millions to 6.49 millions VND
460230,Đà Nẵng,3.0,44.0,Other 1,Other 1,Unknown,Other 1,Female,40 - 44 y.o.,Lecturer / Teacher,White Collar,2018,From 4.5 millions to 6.49 millions VND
460591,Đà Nẵng,3.0,35.0,Other 1,Other 1,Unknown,Other 1,Female,35 - 39 y.o.,Lecturer / Teacher,White Collar,2018,From 4.5 millions to 6.49 millions VND
742145,Đà Nẵng,3.0,37.0,Other 1,Other 1,Unknown,Other 1,Female,35 - 39 y.o.,Freelance,Self Employed - Small Business and Freelance,2019,From 4.5 millions to 6.49 millions VND
758482,Đà Nẵng,3.0,17.0,Other 1,Other 1,Unknown,Other 1,Female,16 - 19 y.o.,Pupil / Student,None Working,2019,From 4.5 millions to 6.49 millions VND
769578,Hải Phòng,3.0,43.0,Other 1,Other 1,Unknown,Other 1,Female,40 - 44 y.o.,Housewife,None Working,2019,From 4.5 millions to 6.49 millions VND
